"시점","국가별",데이터
"2015","아시아",
"2015","대한민국",28827
"2015","아프가니스탄",569
"2015","아르메니아",3655
"2015","아제르바이잔",5325
"2015","바레인",22467
"2015","방글라데시",1304
"2015","부탄",2761
"2015","브루나이",32166
"2015","캄보디아",1484
"2015","중국",8137
"2015","키프로스",23329
"2015","동티모르",2314
"2015","조지아",3994
"2015","홍콩",43217
"2015","인도",1566
"2015","인도네시아",3179
"2015","이란",4956
"2015","이라크",4400
"2015","이스라엘",36265
"2015","일본",36336
"2015","요르단",3997
"2015","카자흐스탄",9554
"2015","쿠웨이트",33193
"2015","키르기스스탄",1062
"2015","라오스",2027
"2015","레바논",7636
"2015","마카오",62599
"2015","말레이시아",9385
"2015","몰디브",8868
"2015","몽골",3519
"2015","미얀마",1125
"2015","네팔",888
"2015","오만",18268
"2015","파키스탄",1359
"2015","필리핀",3242
"2015","카타르",67465
"2015","사우디아라비아",23973
"2015","싱가포르",51849
"2015","스리랑카",3961
"2015","시리아",816
"2015","타지키스탄",1134
"2015","태국",5395
"2015","튀르키예",10926
"2015","투르크메니스탄",5423
"2015","아랍에미리트",43740
"2015","우즈베키스탄",2850
"2015","베트남",2447
"2015","예멘",1330
"2015","북아메리카",
"2015","버뮤다",108624
"2015","캐나다",42926
"2015","멕시코",9771
"2015","미국",57533
"2015","남아메리카",
"2015","앤티가바부다",15132
"2015","아르헨티나",13424
"2015","아루바",26302
"2015","바하마",29435
"2015","바베이도스",18191
"2015","벨리즈",5887
"2015","볼리비아",2894
"2015","브라질",8768
"2015","케이맨제도",45310
"2015","칠레",13104
"2015","콜롬비아",6167
"2015","코스타리카",11213
"2015","쿠바",7629
"2015","도미니카연방",7969
"2015","도미니카공화국",6520
"2015","에콰도르",5871
"2015","엘살바도르",3614
"2015","그레나다",7679
"2015","과테말라",3800
"2015","가이아나",5673
"2015","아이티",1415
"2015","온두라스",2116
"2015","자메이카",4906
"2015","니카라과",1995
"2015","파나마",13211
"2015","파라과이",5644
"2015","페루",6018
"2015","푸에르토리코",19688
"2015","세인트키츠네비스",18991
"2015","세인트루시아",9476
"2015","세인트빈센트그레나딘",7170
"2015","수리남",8791
"2015","트리니다드토바고",19710
"2015","터크스케이커스제도",24015
"2015","우루과이",16399
"2015","유럽",
"2015","알바니아",4029
"2015","오스트리아",43467
"2015","벨라루스",5714
"2015","벨기에",41469
"2015","보스니아-헤르체고비나",4694
"2015","불가리아",7032
"2015","크로아티아",12265
"2015","체코",16615
"2015","덴마크",54732
"2015","에스토니아",17347
"2015","페로제도",54060
"2015","핀란드",42936
"2015","프랑스",37445
"2015","독일",42733
"2015","그리스",17842
"2015","헝가리",12183
"2015","아이슬란드",52858
"2015","아일랜드",49977
"2015","맨섬",81663
"2015","이탈리아",30428
"2015","코소보",3578
"2015","라트비아",13254
"2015","리히텐슈타인",137689
"2015","리투아니아",13762
"2015","룩셈부르크",67868
"2015","북마케도니아",5097
"2015","몰타",23759
"2015","몰도바",2908
"2015","네덜란드",45098
"2015","노르웨이",77900
"2015","폴란드",12162
"2015","포르투갈",18718
"2015","루마니아",8883
"2015","러시아",9021
"2015","슬로바키아",16036
"2015","슬로베니아",20070
"2015","스페인",25962
"2015","스웨덴",51563
"2015","스위스",84653
"2015","우크라이나",2182
"2015","영국",44003
"2015","몬테네그로",6633
"2015","세르비아",5561
"2015","아프리카",
"2015","알제리",4589
"2015","앙골라",3051
"2015","베냉",997
"2015","보츠와나",5935
"2015","부르키나파소",601
"2015","부룬디",281
"2015","카메룬",1396
"2015","카보베르데",3300
"2015","중앙아프리카공화국",371
"2015","차드",971
"2015","코모로",1336
"2015","콩고",2426
"2015","콩고민주공화국",433
"2015","코트디부아르",1775
"2015","지부티",2350
"2015","이집트",3250
"2015","적도기니",6840
"2015","에티오피아",619
"2015","가봉",6462
"2015","감비아",605
"2015","가나",1671
"2015","기니",735
"2015","기니비사우",659
"2015","케냐",1342
"2015","레소토",1254
"2015","라이베리아",632
"2015","리비아",7648
"2015","마다가스카르",431
"2015","말라위",527
"2015","말리",822
"2015","모리타니",1509
"2015","모리셔스",9828
"2015","모로코",3097
"2015","모잠비크",599
"2015","나미비아",4766
"2015","니제르",510
"2015","나이지리아",2519
"2015","르완다",720
"2015","상투메프린시페",1315
"2015","세네갈",1186
"2015","세이셸",14442
"2015","시에라리온",949
"2015","소말리아",443
"2015","남아프리카공화국",5972
"2015","남수단",947
"2015","수단",1263
"2015","에스와티니",3281
"2015","탄자니아",925
"2015","토고",768
"2015","튀니지",3911
"2015","우간다",846
"2015","잠비아",1271
"2015","짐바브웨",1349
"2015","오세아니아",
"2015","오스트레일리아",55580
"2015","피지",4788
"2015","프랑스령폴리네시아",21131
"2015","키리바시",3190
